id,budget,runtime,revenue,release_month,release_day,release_year,release_dayofweek,release_quarter,high_budget_adjacency,is_collection,has_homepage,original_title_letter_count,original_title_word_count,overview_word_count,num_genres,genres_popularity,num_keywords,keywords_popularity,num_prod_companies,prod_companies_popularity,num_producers,producers_popularity,num_crew,num_director,director_popularity,num_prod_countries,prod_countries_popularity,language,num_spoken_lang,num_cast,num_females,is_lead_female,cast_popularity,top5_popularity,inflation_budget,scaled_budget,budget_num_cast_ratio,budget_runtime_ratio
44,6000000,92,1020921,9,5,2014,4,3,0,1,1,12,3,29,1,1089,5,9.6,3,0,5,0.5,12,1,0.083333333,1,1790,0,1,32,20,0,2.96875,8.4,6540000,15.60727019,187500,65217.3913
45,15000000,88,47175038,2,4,2005,4,1,1,1,0,16,3,77,2,567,6,38.66666667,3,0,4,0.916666667,12,1,0.083333333,1,1790,0,1,10,4,1,3.6,5.4,18780000,16.52356083,1500000,170454.5455
46,3906840,95,4300000,10,9,2009,4,4,1,1,1,13,3,35,5,536.6,11,16.09090909,2,0,0,0,7,1,0.142857143,1,42,4,2,15,2,0,1,1,4610071.2,15.17823968,260456,41124.63158
47,80000000,91,660940780,3,23,2006,3,1,1,0,0,21,4,55,4,354.75,11,1.272727273,2,0,1,0.5,10,1,0.4,1,1790,0,1,42,7,0,3.619047619,8.8,98720000,18.19753721,1904761.905,879120.8791
48,44000000,167,155760117,12,25,2015,4,4,3,1,0,17,3,19,4,419.25,8,3.375,3,4,6,0.935064935,77,1,0.077922078,1,1790,0,2,18,4,0,5.944444444,10.8,47168000,17.59970021,2444444.444,263473.0539
50,38000000,118,120000000,11,17,1994,3,4,2,0,1,22,3,39,4,467.75,5,7,1,134,3,0.333333333,15,1,0.066666667,1,1790,0,1,17,4,0,4.058823529,4.8,55100000,17.45309674,2235294.118,322033.8983
51,560000,102,1500000,1,30,2008,2,1,2,1,0,20,3,138,3,741,10,2.9,0,0,0,0,2,1,0.5,1,16,5,1,9,2,1,1.111111111,1.2,670880,13.23569385,62222.22222,5490.196078
52,12000000,160,25333333,7,1,1965,2,3,0,1,1,14,3,57,2,553.5,5,2.4,1,171,1,0.5,6,1,0.666666667,1,1790,0,2,17,3,0,2.176470588,4.2,23664000,16.30041729,705882.3529,75000
55,20000000,107,46069568,2,19,2016,4,1,2,1,1,5,1,59,1,612,12,3.25,4,20.75,5,0.619047619,21,1,0.285714286,1,1790,0,1,30,1,0,2.066666667,5.4,21080000,16.81124288,666666.6667,186915.8879
58,125000000,125,238207122,6,20,1997,4,2,2,0,1,14,3,43,3,392,9,9.333333333,2,91,3,0.219047619,105,1,0.076190476,2,1027,0,1,14,3,0,5.857142857,10.4,174500000,18.6438243,8928571.429,1000000
60,14000000,95,25482931,3,8,2002,4,1,3,1,1,23,4,166,3,573,20,1.95,1,69,0,0,1,1,1,1,1790,0,2,7,2,0,6,6.6,18284000,16.45456796,2000000,147368.4211
61,150000000,144,599045960,11,14,2006,1,4,2,0,0,13,2,79,3,540.6666667,10,8.3,3,4.666666667,3,0.19047619,126,1,0.079365079,5,447.8,0,2,79,7,0,1.949367089,8.8,185100000,18.82614586,1898734.177,1041666.667
62,4000000,105,14400000,5,30,1956,1,2,0,1,1,7,1,32,1,1089,2,0,1,0,1,0.111111111,9,1,0.111111111,1,1790,0,2,15,2,0,1.733333333,3.2,8536000,15.20180517,266666.6667,38095.2381
64,5000000,100,14000000,7,28,1989,4,3,0,0,1,48,8,74,2,438.5,10,17.9,3,44.66666667,2,0.285714286,7,1,0.285714286,1,1790,0,1,16,6,0,1.4375,1.8,7700000,15.42494867,312500,50000
65,12000000,115,17654912,9,21,2013,5,3,1,1,1,8,1,28,2,732.5,11,3.454545455,2,0,6,0.217391304,69,1,0.043478261,1,1790,0,2,14,4,1,3.5,6,13296000,16.30041729,857142.8571,104347.8261
66,1500000,92,11806119,2,26,1988,4,1,0,0,1,10,1,40,1,612,6,24.33333333,1,0,3,1.666666667,12,1,0.416666667,1,1790,0,1,9,1,0,4.555555556,3.4,2337000,14.22097633,166666.6667,16304.34783
67,12000000,108,204940,1,14,2010,3,1,1,1,1,13,2,14,2,553,2,0,2,0,1,0.166666667,12,1,0.083333333,1,1790,0,1,16,3,0,5.3125,9.2,13944000,16.30041729,750000,111111.1111
69,2000000,129,13129846,12,25,1962,0,4,0,1,1,21,4,128,2,732,17,10.94117647,1,157,4,0.205882353,34,1,0.088235294,1,1790,0,1,56,10,0,1.803571429,2.2,4052000,14.50865824,35714.28571,15503.87597
70,85000000,104,158468292,6,3,2006,5,2,2,0,0,37,7,36,4,677.5,9,4,1,157,4,1.192982456,57,1,0.035087719,2,911.5,0,2,56,9,0,1.785714286,4,104890000,18.25816183,1517857.143,817307.6923
71,29000000,103,21126225,3,4,2005,4,1,3,1,1,10,2,30,4,523.5,18,7.888888889,7,0,12,2.5,20,1,0.6,2,960,0,1,22,7,0,4.045454545,6.6,36308000,17.18280642,1318181.818,281553.3981
73,11000000,85,8266343,4,5,1990,3,2,0,1,1,8,1,17,2,400.5,7,11,2,86.5,2,0.571428571,7,1,1.142857143,1,1790,0,1,15,8,0,4.266666667,4.4,16742000,16.21340592,733333.3333,129411.7647
75,445000,84,2300000,3,31,1976,2,1,0,1,1,19,3,27,2,732,15,27.13333333,1,0,2,0.333333333,12,1,0.083333333,1,1790,0,1,16,3,1,2.4375,3.8,789430,13.00583181,27812.5,5297.619048
76,17000000,106,24922237,8,18,2011,3,3,1,0,0,12,2,34,2,487,5,10.6,1,51,6,2,10,1,0.4,2,1027,0,1,16,7,0,4.5,8.6,19448000,16.64872396,1062500,160377.3585
77,500000,157,500000,5,5,2000,4,2,1,1,1,25,2,99,3,500.6666667,0,0,0,0,1,0.285714286,7,1,0.142857143,1,68,6,3,11,2,0,2.727272727,3.4,671000,13.12236538,45454.54545,3184.713376
78,6000000,98,39846344,7,25,1980,4,3,0,0,1,10,1,55,1,731,5,12.8,2,94,2,1.444444444,9,1,1.111111111,1,1790,0,1,55,3,0,1.690909091,6.2,10212000,15.60727019,109090.9091,61224.4898
80,1500000,102,779820,9,15,2016,3,3,2,1,0,2,1,12,2,438.5,13,2.538461538,5,0,21,0.375,80,1,0.1,2,1027,0,3,31,13,1,2.064516129,3.4,1581000,14.22097633,48387.09677,14705.88235
81,15000000,118,9237470,12,14,2002,5,4,2,1,1,9,2,26,4,677.5,13,16.38461538,6,16.83333333,7,2.045454545,22,1,0.272727273,3,728,0,1,17,4,0,4.176470588,7.4,19590000,16.52356083,882352.9412,127118.6441
82,10284523,104,11588205,10,21,2005,4,4,2,1,1,8,1,62,3,741,1,0,4,17.75,3,1.75,12,1,0.083333333,1,1790,0,2,11,6,0,4.272727273,6.4,12876222.8,16.1461508,934956.6364,98889.64423
83,43000000,104,91974818,7,29,2005,4,3,1,1,1,16,3,22,4,537,16,15.4375,6,26.16666667,6,0.484848485,99,1,0.04040404,2,960,0,1,20,9,1,2.55,5.2,53836000,17.5767107,2150000,413461.5385
84,28000000,116,40400657,12,6,1984,3,4,0,0,1,4,1,162,2,441.5,8,3.75,1,63,1,0.46875,32,1,0.875,1,1790,0,2,18,3,0,2.944444444,6,45640000,17.1477151,1555555.556,241379.3103
85,2000000,85,13101672,1,21,2011,4,1,2,1,1,12,2,57,2,212.5,9,21.11111111,2,0,2,1.142857143,7,2,0.571428571,2,969,0,1,6,3,1,1.833333333,2,2288000,14.50865824,333333.3333,23529.41176
86,50000000,109,152022101,6,9,1995,4,2,1,1,1,5,1,42,6,523.6666667,4,0,2,67,3,4.888888889,9,1,0.666666667,1,1790,0,2,21,4,1,5.476190476,6.8,71600000,17.72753358,2380952.381,458715.5963
87,8000000,105,106260000,12,18,1979,1,4,0,1,1,17,3,46,1,1089,12,7.666666667,1,83,1,0.090909091,33,1,0.121212121,1,1790,0,1,19,4,0,2.842105263,6.4,13760000,15.89495222,421052.6316,76190.47619
88,7500000,91,32392047,1,30,1995,0,1,0,1,1,3,1,74,4,588,10,23.3,2,34.5,1,0.25,4,1,0.25,1,24,7,2,9,1,0,2,2.8,10740000,15.83041371,833333.3333,82417.58242
89,20000000,126,13162475,3,31,2017,4,1,2,1,0,20,3,24,2,597,7,12.85714286,3,0,12,1.571428571,21,1,0.047619048,3,689,0,1,41,3,1,1.536585366,3.2,20720000,16.81124288,487804.878,158730.1587
90,30000000,109,140081992,2,5,1993,4,1,0,1,1,9,1,92,4,577,22,7.5,3,9.666666667,4,1.8,20,1,0.05,2,969,0,1,13,2,1,4.923076923,7.8,44040000,17.21670797,2307692.308,275229.3578
91,30000000,111,180949000,10,10,2003,4,4,2,0,0,17,4,49,2,493.5,15,13.26666667,3,11.66666667,7,0.51552795,161,1,0.105590062,1,1790,0,3,36,9,1,2.388888889,4.8,38640000,17.21670797,833333.3333,270270.2703
93,35000000,135,15000000,9,20,1995,2,3,0,1,1,22,5,20,4,487.5,5,4.4,3,15.33333333,1,0.111111111,9,1,0.222222222,1,148,0,2,29,2,1,1.689655172,4.2,50120000,17.37085865,1206896.552,259259.2593
95,15000000,147,20117339,5,16,2001,2,2,2,1,1,16,2,34,3,635,16,15.125,5,6.8,6,0.470588235,17,1,0.352941176,2,969,0,2,71,12,1,2.070422535,5.8,19860000,16.52356083,211267.6056,102040.8163
97,2500000,98,3358,11,14,2011,0,4,1,1,1,12,2,61,4,595,0,0,6,5.666666667,0,0,10,1,0.3,1,148,3,1,9,3,0,1.222222222,1,2860000,14.73180169,277777.7778,25510.20408
99,10500000,90,23000000,8,31,2012,4,3,0,1,1,28,5,104,4,354.75,13,5.461538462,1,0,8,0.8,15,1,0.066666667,1,29,8,2,8,2,1,1.25,1.4,11823000,16.16688591,1312500,116666.6667
100,6000000,120,46616067,4,15,1988,4,2,0,1,1,6,1,32,3,692,10,7.3,1,17,1,0.375,8,1,0.125,1,1790,0,2,11,1,0,6.363636364,8,9348000,15.60727019,545454.5455,50000
101,7000000,91,9229401,1,26,1990,4,1,0,1,1,10,2,49,5,422.6,8,14.25,4,0,3,0.191489362,47,1,0.042553191,1,1790,0,1,14,1,0,2.142857143,2.6,10654000,15.76142085,500000,76923.07692
102,60000000,135,313542341,12,11,2001,1,4,1,1,0,16,3,115,2,746,14,2.571428571,3,66.66666667,8,0.933333333,60,1,0.333333333,1,1790,0,1,38,5,0,3.5,13.2,79440000,17.90985514,1578947.368,444444.4444
106,10900000,105,16505460,9,8,2013,6,3,0,1,1,5,1,92,1,1089,8,13.75,5,0,3,0.2,40,1,0.025,1,264,0,1,14,5,1,4,6.8,12077200,16.20427344,778571.4286,103809.5238
107,31000000,105,15134293,1,21,2010,3,1,1,1,0,22,2,104,1,1089,0,0,2,0,3,1.4375,16,1,0.0625,1,1790,0,1,25,4,0,3.08,6.2,36022000,17.24949779,1240000,295238.0952
108,72000000,177,210000000,5,24,1995,2,2,1,1,1,10,1,42,4,472,8,2,3,0,6,0.402985075,67,1,0.149253731,1,1790,0,4,55,1,0,2.854545455,6,103104000,18.09217669,1309090.909,406779.661
109,14000000,97,18535191,4,15,1999,3,2,0,1,1,16,3,66,3,741,0,0,2,17.5,0,0,3,1,0.666666667,2,1027,0,1,6,3,1,8,9,19040000,16.45456796,2333333.333,144329.8969
110,15000000,189,34562222,10,10,1966,6,4,0,1,1,6,1,46,3,622.6666667,2,6.5,1,0,1,0.153846154,13,1,0.153846154,1,1790,0,1,18,3,1,3.777777778,8,29310000,16.52356083,833333.3333,79365.07937
111,75000000,123,67631903,10,12,2001,4,4,2,1,1,7,1,11,4,530.25,1,41,7,11.85714286,11,0.634615385,104,1,0.076923077,1,1790,0,1,10,5,0,7.4,10.8,99300000,18.13299868,7500000,609756.0976
112,35000000,111,22034832,8,6,2004,4,3,3,1,1,17,3,63,3,741,1,0,2,5.5,4,0.32,25,1,0.04,1,1790,0,1,20,9,1,3.15,6.6,44450000,17.37085865,1750000,315315.3153
113,100000000,122,93820758,11,20,2015,4,4,2,1,0,23,6,127,5,563.2,22,7.590909091,8,23.375,5,0.509090909,110,1,0.190909091,1,1790,0,1,26,2,0,3.230769231,8,107200000,18.42068075,3846153.846,819672.1311
114,20000000,106,51684798,3,25,1988,4,1,0,1,1,12,2,47,3,741,3,7.666666667,2,78.5,3,0.923076923,13,1,0.230769231,1,1790,0,1,13,2,0,3.692307692,6.8,31160000,16.81124288,1538461.538,188679.2453
115,93000000,178,871368364,12,18,2001,1,4,1,0,0,49,10,63,3,392.3333333,16,9.8125,3,23,7,3.333333333,30,1,0.7,2,902,0,1,26,3,0,5.692307692,11.6,123132000,18.34811006,3576923.077,522471.9101
116,25000000,86,41604473,5,31,2002,4,2,0,1,1,18,2,56,2,671.5,7,23.57142857,1,157,6,2.615384615,13,1,0.307692308,1,1790,0,1,11,2,0,3.545454545,3.8,32650000,17.03438642,2272727.273,290697.6744
118,60000000,100,253625427,3,2,2007,4,1,1,1,0,9,2,41,3,573,9,2.333333333,2,25.5,5,1.25,12,1,0.416666667,1,1790,0,1,17,4,0,6.235294118,10,72960000,17.90985514,3529411.765,600000
120,12716953,113,18814720,1,31,1997,4,1,1,1,1,4,1,33,3,572.6666667,4,15.75,1,0,2,0.2,10,1,0.1,2,36,7,3,15,3,0,1.933333333,2.8,17752866.39,16.35844662,847796.8667,112539.4071
121,90000000,90,347325802,8,3,2001,4,3,0,0,1,11,3,98,4,588,1,117,1,69,0,0.6,10,1,0.5,1,1790,0,3,16,6,0,4.5,4.8,119160000,18.31532024,5625000,1000000
122,150000000,88,448000000,6,18,1999,4,2,1,0,0,6,1,56,4,444.25,9,6.444444444,1,55,1,0.148148148,27,2,0.148148148,1,1790,0,1,11,2,0,4.545454545,4.8,204000000,18.82614586,13636363.64,1704545.455
123,1500000,94,5585154,2,9,1990,4,1,0,1,1,13,2,72,5,506.8,4,6.75,1,40,3,0.075630252,119,1,0.033613445,1,1790,0,1,51,3,0,2.607843137,7.6,2283000,14.22097633,29411.76471,15957.44681
124,25000000,115,91036760,3,20,2000,0,1,1,1,1,14,3,39,3,540.3333333,6,4,2,93,0,0,7,1,0.571428571,1,1790,0,2,15,1,0,3.466666667,3.8,33550000,17.03438642,1666666.667,217391.3043
125,7500000,95,60722734,7,17,2009,4,3,1,1,0,20,4,50,3,741,17,14.94117647,3,12,4,0.228571429,35,1,0.114285714,1,1790,0,3,23,9,0,3.217391304,6.6,8850000,15.83041371,326086.9565,78947.36842
126,40000000,125,7400000,7,3,2008,3,3,3,1,0,5,1,29,2,585.5,2,71.5,5,0,0,0,2,1,1.5,3,70,9,3,4,2,0,4.25,3.4,47920000,17.50439004,10000000,320000
128,10000000,111,12008642,12,22,2000,4,4,1,1,1,8,2,57,4,537,4,3.75,2,6.5,9,1.033898305,59,1,0.084745763,1,1790,0,1,16,5,1,7.5625,11.8,13420000,16.11809575,625000,90090.09009
129,18000000,100,46201432,10,14,2005,4,4,2,1,0,7,2,52,2,438.5,21,5.714285714,2,5.5,7,1.19047619,21,1,0.285714286,1,94,0,3,11,4,0,2.909090909,3.8,22536000,16.70588237,1636363.636,180000
130,2400000,120,5731103,10,16,1996,2,4,2,1,1,14,4,68,1,1089,3,4,2,41.5,0,1.5,2,1,3,1,1790,0,1,18,3,0,4.055555556,4.8,3393600,14.69097971,133333.3333,20000
131,4000000,90,9800000,7,24,2013,2,3,2,1,0,26,4,79,1,731,6,4.333333333,5,7.6,6,1,13,1,0.076923077,1,264,0,1,23,7,0,2.217391304,3,4432000,15.20180517,173913.0435,44444.44444
132,6000000,93,5206,1,1,2011,5,1,0,1,1,15,3,57,2,861.5,0,0,0,0,0,0,2,1,0.5,1,1790,0,2,22,8,0,4.136363636,5.4,6864000,15.60727019,272727.2727,64516.12903
134,65000000,95,211780824,11,4,2010,3,4,0,1,0,8,2,54,2,910,8,1.5,3,63.33333333,5,0.877192982,57,1,0.315789474,1,1790,0,2,18,3,0,5.333333333,9.8,75530000,17.98989784,3611111.111,684210.5263
135,10000000,100,33000000,9,6,2007,3,3,0,1,0,14,3,22,2,567,9,12.33333333,3,0,4,1,8,1,0.25,1,264,0,1,30,6,0,2.2,5,12160000,16.11809575,333333.3333,100000
136,2000000,90,300000,6,29,2006,3,2,2,1,1,10,2,69,3,732,13,10.15384615,4,0,5,0.368421053,19,2,0.210526316,1,48,0,1,9,0,0,1.555555556,2,2468000,14.50865824,222222.2222,22222.22222
138,9000000,79,4350774,4,29,1994,4,2,0,1,1,3,1,72,1,731,7,0,1,0,1,0.357142857,14,1,0.071428571,1,1790,0,1,36,5,0,2,4.2,13050000,16.01273525,250000,113924.0506
140,110000000,133,407711549,4,24,2003,3,2,2,0,1,2,1,45,4,467.75,5,19,6,20.5,2,1.071428571,28,1,0.321428571,1,1790,0,3,31,8,0,4.903225806,11.8,141680000,18.51599093,3548387.097,827067.6692
141,14320000,176,14000000,7,18,1968,2,3,0,1,1,5,1,11,3,520.6666667,3,16,2,61.5,1,0.2,10,1,0.2,1,1790,0,1,13,3,1,2.923076923,3.2,27465760,16.47716779,1101538.462,81363.63636
143,3500000,108,615816,1,22,2016,4,1,2,1,0,10,2,49,2,910,6,3.5,1,0,0,0,4,1,0.25,1,1790,0,1,15,8,1,2.266666667,3.8,3689000,15.06827381,233333.3333,32407.40741
144,18000000,98,382174,11,5,2008,2,4,1,1,0,13,2,39,1,1089,10,10.7,1,0,1,1.2,5,1,0.2,2,960,0,1,23,9,0,3.434782609,7.8,21564000,16.70588237,782608.6957,183673.4694
145,4000000,108,11000000,10,26,1967,2,4,0,1,1,15,3,79,3,417.3333333,10,17.9,1,171,1,0.045454545,22,1,0.090909091,1,1790,0,1,13,1,0,2.692307692,4.2,7744000,15.20180517,307692.3077,37037.03704
148,39200000,126,86758912,8,1,2013,3,3,4,1,0,11,1,33,3,650,24,11.41666667,5,0,5,0.193548387,62,1,0.096774194,4,490.75,10,4,45,3,0,2.977777778,9.8,43433600,17.48418733,871111.1111,311111.1111
149,18000000,87,147214049,4,3,1992,4,2,0,0,1,9,1,70,2,467.5,3,10.66666667,2,78.5,3,2.727272727,11,1,0.909090909,1,1790,0,1,15,5,0,4,3.8,26748000,16.70588237,1200000,206896.5517
150,25000000,113,432274,3,28,2012,2,1,2,1,1,9,2,29,3,699.6666667,4,14.25,9,0,1,0.018518519,54,1,0.037037037,2,898.5,0,1,9,1,1,2.888888889,4.4,28150000,17.03438642,2777777.778,221238.9381
154,4000000,91,52425855,1,23,2015,4,1,0,1,0,17,4,26,1,634,37,10.51351351,4,43.5,4,0.675675676,37,1,0.108108108,1,1790,0,1,19,5,1,2.736842105,5.4,4288000,15.20180517,210526.3158,43956.04396
156,20000000,72,109862682,2,14,2002,3,1,2,0,1,20,4,38,4,219.25,1,16,5,11,0,0,9,2,0.222222222,3,644,0,1,12,2,1,2.75,2.8,26120000,16.81124288,1666666.667,277777.7778
157,3500000,126,8262833,3,5,2005,5,1,3,0,1,11,3,133,1,612,0,0,0,0,0,0,1,1,1,1,34,11,1,8,1,0,1.625,1.2,4382000,15.06827381,437500,27777.77778
159,63600000,102,19412993,10,6,2000,4,4,1,1,1,10,2,54,4,677.5,4,3.5,4,47.5,2,1.4,10,1,0.2,1,1790,0,1,15,4,0,7.6,8.8,85351200,17.96812404,4240000,623529.4118
160,32000000,107,18552460,2,9,1995,3,1,0,1,1,22,5,20,2,321.5,5,17.4,1,40,5,2.3,10,1,0.5,2,911.5,0,1,16,3,1,7.1875,9.4,45824000,17.28124649,2000000,299065.4206
161,3500000,98,113783,2,7,2006,1,1,0,1,1,14,2,72,2,910,2,49.5,2,0,0,0,2,1,1,1,1790,0,1,15,6,1,4.733333333,7.8,4319000,15.06827381,233333.3333,35714.28571
163,125000,90,3200000,9,11,2011,6,3,1,1,0,20,3,36,2,910,7,23.71428571,1,0,1,0.125,8,1,0.25,1,1790,0,1,6,2,0,3.666666667,4.2,143000,11.73607702,20833.33333,1388.888889
164,9000000,93,17096053,9,17,1998,3,3,0,1,1,8,1,73,2,910,6,17.33333333,1,51,3,1.555555556,9,1,1.111111111,1,1790,0,4,13,4,0,6.230769231,6.8,12402000,16.01273525,692307.6923,96774.19355
165,40000000,99,62771059,4,5,2007,3,2,0,1,0,11,2,74,2,438.5,7,5,5,41.4,4,2.352941176,17,1,0.470588235,1,1790,0,2,15,4,1,4.133333333,5.2,48640000,17.50439004,2666666.667,404040.404
168,19000000,122,144216468,9,9,2005,4,3,0,1,1,26,5,66,4,585.25,14,1.142857143,3,9.666666667,9,0.629032258,62,1,0.032258065,1,1790,0,1,20,7,1,3.25,7.2,23788000,16.75994959,950000,155737.7049
169,5000000,113,41833347,5,21,1975,2,2,0,0,1,30,6,49,3,429.3333333,5,5.2,4,9.5,1,0.3,20,1,0.7,1,264,0,1,23,3,0,2.782608696,5.4,8960000,15.42494867,217391.3043,44247.78761
